ID операции;Дата;ID автосервиса;Артикул;Количество, шт.;Тип операции;;;;;
256;04.09.2023;А19;13;364;Поступление;;;;;
257;04.09.2023;А7;48;450;Продажа;;;;;
258;04.09.2023;А19;51;938;Продажа;;;;;
259;04.09.2023;А10;154;682;Поступление;;;;;
260;04.09.2023;А19;162;129;Продажа;;;;;
261;04.09.2023;А15;100;680;Поступление;;;;;
262;04.09.2023;А16;137;140;Поступление;;;;;
263;04.09.2023;А3;118;474;Продажа;;;;;
264;04.09.2023;А9;85;709;Поступление;;;;;
265;04.09.2023;А13;69;309;Продажа;;;;;
266;04.09.2023;А15;63;665;Поступление;;;;;
267;04.09.2023;А3;141;729;Поступление;;;;;
268;04.09.2023;А5;45;598;Поступление;;;;;
269;04.09.2023;А10;135;975;Поступление;;;;;
270;04.09.2023;А6;30;140;Поступление;;;;;
271;04.09.2023;А15;22;72;Продажа;;;;;
272;04.09.2023;А14;46;484;Поступление;;;;;
273;04.09.2023;А1;64;239;Продажа;;;;;
274;04.09.2023;А1;65;738;Продажа;;;;;
275;04.09.2023;А6;101;432;Поступление;;;;;
276;04.09.2023;А10;155;707;Поступление;;;;;
277;04.09.2023;А16;92;697;Поступление;;;;;
278;04.09.2023;А12;100;848;Продажа;;;;;
279;04.09.2023;А4;62;556;Продажа;;;;;
280;04.09.2023;А6;175;997;Продажа;;;;;
281;04.09.2023;А20;86;333;Продажа;;;;;
282;04.09.2023;А19;165;979;Продажа;;;;;
283;04.09.2023;А18;120;702;Продажа;;;;;
284;04.09.2023;А8;138;165;Поступление;;;;;
285;04.09.2023;А3;189;813;Поступление;;;;;
286;04.09.2023;А11;151;603;Продажа;;;;;
287;04.09.2023;А11;45;109;Поступление;;;;;
288;04.09.2023;А9;155;16;Поступление;;;;;
289;04.09.2023;А12;42;650;Продажа;;;;;
290;04.09.2023;А16;140;11;Поступление;;;;;
291;04.09.2023;А19;168;447;Поступление;;;;;
292;04.09.2023;А12;200;984;Поступление;;;;;
293;04.09.2023;А2;87;850;Продажа;;;;;
294;04.09.2023;А1;192;622;Поступление;;;;;
295;04.09.2023;А7;151;856;Продажа;;;;;
296;04.09.2023;А20;171;274;Продажа;;;;;
297;04.09.2023;А2;167;354;Продажа;;;;;
298;04.09.2023;А8;78;410;Продажа;;;;;
299;04.09.2023;А2;107;774;Поступление;;;;;
300;04.09.2023;А11;163;772;Поступление;;;;;
301;04.09.2023;А15;44;255;Поступление;;;;;
302;04.09.2023;А11;38;418;Продажа;;;;;
303;04.09.2023;А14;162;103;Поступление;;;;;
304;04.09.2023;А2;91;216;Поступление;;;;;
305;04.09.2023;А10;139;50;Продажа;;;;;
306;04.09.2023;А14;52;545;Поступление;;;;;
307;04.09.2023;А20;168;176;Продажа;;;;;
308;04.09.2023;А6;168;25;Поступление;;;;;
309;04.09.2023;А4;6;76;Поступление;;;;;
310;04.09.2023;А5;160;415;Продажа;;;;;
311;04.09.2023;А4;76;90;Продажа;;;;;
312;04.09.2023;А10;102;577;Поступление;;;;;
313;04.09.2023;А11;28;662;Поступление;;;;;
314;04.09.2023;А19;192;314;Поступление;;;;;
315;04.09.2023;А8;74;670;Продажа;;;;;
316;04.09.2023;А3;102;962;Продажа;;;;;
317;04.09.2023;А20;93;28;Продажа;;;;;
318;04.09.2023;А3;113;565;Продажа;;;;;
319;04.09.2023;А14;122;657;Поступление;;;;;
320;04.09.2023;А7;134;126;Продажа;;;;;
321;04.09.2023;А14;102;784;Поступление;;;;;
322;04.09.2023;А5;74;84;Поступление;;;;;
323;04.09.2023;А3;16;195;Продажа;;;;;
324;04.09.2023;А2;36;660;Продажа;;;;;
325;04.09.2023;А14;97;260;Поступление;;;;;
326;04.09.2023;А11;66;458;Продажа;;;;;
327;04.09.2023;А5;138;576;Поступление;;;;;
328;04.09.2023;А9;91;729;Продажа;;;;;
329;04.09.2023;А15;142;575;Поступление;;;;;
330;04.09.2023;А5;160;460;Поступление;;;;;
331;04.09.2023;А5;28;113;Продажа;;;;;
332;04.09.2023;А17;156;801;Продажа;;;;;
333;05.09.2023;А3;126;405;Поступление;;;;;
334;05.09.2023;А8;170;371;Поступление;;;;;
335;05.09.2023;А9;3;516;Поступление;;;;;
336;05.09.2023;А15;139;827;Продажа;;;;;
337;05.09.2023;А5;67;424;Продажа;;;;;
338;05.09.2023;А17;183;928;Продажа;;;;;
339;05.09.2023;А11;102;680;Поступление;;;;;
340;05.09.2023;А16;114;505;Продажа;;;;;
341;05.09.2023;А4;30;256;Поступление;;;;;
342;05.09.2023;А1;1;47;Поступление;;;;;
343;05.09.2023;А6;170;121;Поступление;;;;;
344;05.09.2023;А18;26;237;Продажа;;;;;
345;05.09.2023;А14;153;129;Продажа;;;;;
346;05.09.2023;А13;74;536;Поступление;;;;;
347;05.09.2023;А18;125;728;Продажа;;;;;
348;05.09.2023;А15;98;931;Продажа;;;;;
349;05.09.2023;А20;12;185;Поступление;;;;;
350;05.09.2023;А4;57;406;Поступление;;;;;
351;05.09.2023;А15;186;501;Продажа;;;;;
352;05.09.2023;А11;58;752;Поступление;;;;;
353;05.09.2023;А10;159;420;Продажа;;;;;
354;05.09.2023;А13;155;264;Продажа;;;;;
355;05.09.2023;А11;73;388;Продажа;;;;;
356;05.09.2023;А12;30;345;Поступление;;;;;
357;05.09.2023;А8;68;786;Поступление;;;;;
358;05.09.2023;А5;116;280;Продажа;;;;;
359;05.09.2023;А1;198;169;Поступление;;;;;
360;05.09.2023;А20;128;982;Продажа;;;;;
361;05.09.2023;А9;76;864;Продажа;;;;;
362;05.09.2023;А16;27;514;Поступление;;;;;
363;05.09.2023;А4;16;126;Поступление;;;;;
364;05.09.2023;А19;32;170;Продажа;;;;;
365;05.09.2023;А10;173;429;Продажа;;;;;
366;05.09.2023;А2;98;395;Поступление;;;;;
367;05.09.2023;А9;171;341;Продажа;;;;;
368;05.09.2023;А3;91;544;Продажа;;;;;
369;05.09.2023;А2;12;115;Продажа;;;;;
370;05.09.2023;А2;81;352;Продажа;;;;;
371;06.09.2023;А18;179;848;Продажа;;;;;
372;06.09.2023;А2;5;831;Продажа;;;;;
373;06.09.2023;А8;8;72;Поступление;;;;;
374;06.09.2023;А18;84;991;Поступление;;;;;
375;06.09.2023;А11;132;91;Поступление;;;;;
376;06.09.2023;А1;150;394;Поступление;;;;;
377;06.09.2023;А1;4;845;Продажа;;;;;
378;06.09.2023;А9;96;739;Продажа;;;;;
379;06.09.2023;А1;7;955;Продажа;;;;;
380;06.09.2023;А15;155;50;Продажа;;;;;
381;06.09.2023;А12;72;984;Продажа;;;;;
382;06.09.2023;А8;5;522;Поступление;;;;;
383;06.09.2023;А3;58;597;Продажа;;;;;
384;06.09.2023;А3;191;818;Продажа;;;;;
385;06.09.2023;А20;150;685;Поступление;;;;;
386;06.09.2023;А20;141;138;Продажа;;;;;
387;06.09.2023;А18;71;199;Продажа;;;;;
388;06.09.2023;А5;87;303;Продажа;;;;;
389;06.09.2023;А3;102;668;Продажа;;;;;
390;06.09.2023;А17;37;162;Поступление;;;;;
391;06.09.2023;А1;125;369;Поступление;;;;;
392;06.09.2023;А20;197;331;Поступление;;;;;
393;06.09.2023;А4;111;812;Продажа;;;;;
394;06.09.2023;А9;175;864;Поступление;;;;;
395;06.09.2023;А15;103;302;Поступление;;;;;
396;06.09.2023;А3;154;738;Продажа;;;;;
397;06.09.2023;А14;93;928;Поступление;;;;;
398;06.09.2023;А9;1;567;Продажа;;;;;
399;06.09.2023;А4;73;136;Поступление;;;;;
400;06.09.2023;А2;115;392;Поступление;;;;;
401;06.09.2023;А9;49;728;Поступление;;;;;
402;06.09.2023;А10;5;514;Поступление;;;;;
403;06.09.2023;А2;199;937;Продажа;;;;;
404;06.09.2023;А14;105;475;Поступление;;;;;
405;06.09.2023;А11;45;448;Поступление;;;;;
406;06.09.2023;А17;61;988;Поступление;;;;;
407;06.09.2023;А8;139;136;Продажа;;;;;
408;06.09.2023;А18;24;873;Продажа;;;;;
409;06.09.2023;А2;35;333;Продажа;;;;;
410;06.09.2023;А11;176;878;Продажа;;;;;
411;06.09.2023;А10;153;65;Продажа;;;;;
412;06.09.2023;А6;113;45;Поступление;;;;;
413;06.09.2023;А4;120;351;Продажа;;;;;
414;06.09.2023;А16;156;240;Продажа;;;;;
415;06.09.2023;А17;4;989;Продажа;;;;;
416;06.09.2023;А15;144;598;Поступление;;;;;
417;06.09.2023;А8;191;13;Поступление;;;;;
418;06.09.2023;А14;6;408;Продажа;;;;;
419;06.09.2023;А14;101;886;Поступление;;;;;
420;06.09.2023;А4;197;847;Поступление;;;;;
421;06.09.2023;А6;31;974;Продажа;;;;;
422;06.09.2023;А16;56;774;Поступление;;;;;
423;06.09.2023;А5;1;250;Продажа;;;;;
424;07.09.2023;А9;166;229;Продажа;;;;;
425;07.09.2023;А16;26;830;Продажа;;;;;
426;07.09.2023;А19;148;105;Поступление;;;;;
427;07.09.2023;А16;176;620;Поступление;;;;;
428;07.09.2023;А18;182;886;Продажа;;;;;
429;07.09.2023;А5;32;304;Продажа;;;;;
430;07.09.2023;А3;191;51;Поступление;;;;;
431;07.09.2023;А16;56;921;Поступление;;;;;
432;07.09.2023;А19;155;791;Поступление;;;;;
433;07.09.2023;А17;157;373;Продажа;;;;;
434;07.09.2023;А13;60;168;Продажа;;;;;
435;07.09.2023;А7;184;472;Продажа;;;;;
436;07.09.2023;А2;104;635;Поступление;;;;;
437;07.09.2023;А1;93;946;Продажа;;;;;
438;07.09.2023;А3;200;156;Поступление;;;;;
439;07.09.2023;А1;94;37;Поступление;;;;;
440;07.09.2023;А3;39;974;Поступление;;;;;
441;07.09.2023;А12;93;47;Поступление;;;;;
442;07.09.2023;А8;142;380;Поступление;;;;;
443;07.09.2023;А9;180;854;Продажа;;;;;
444;07.09.2023;А9;150;878;Поступление;;;;;
445;07.09.2023;А10;199;283;Продажа;;;;;
446;07.09.2023;А3;142;816;Продажа;;;;;
447;07.09.2023;А13;5;391;Продажа;;;;;
448;07.09.2023;А1;39;652;Поступление;;;;;
449;07.09.2023;А5;85;55;Продажа;;;;;
450;07.09.2023;А4;102;929;Поступление;;;;;
451;07.09.2023;А20;52;635;Продажа;;;;;
452;08.09.2023;А18;37;307;Продажа;;;;;
453;08.09.2023;А20;82;484;Поступление;;;;;
454;08.09.2023;А17;12;102;Поступление;;;;;
455;08.09.2023;А7;142;558;Продажа;;;;;
456;08.09.2023;А1;82;743;Продажа;;;;;
457;08.09.2023;А19;10;171;Поступление;;;;;
458;08.09.2023;А16;143;636;Поступление;;;;;
459;08.09.2023;А19;47;228;Продажа;;;;;
460;08.09.2023;А20;200;45;Продажа;;;;;
461;08.09.2023;А14;165;93;Поступление;;;;;
462;08.09.2023;А13;64;366;Поступление;;;;;
463;08.09.2023;А8;9;219;Поступление;;;;;
464;08.09.2023;А17;188;346;Продажа;;;;;
465;08.09.2023;А2;14;326;Продажа;;;;;
466;08.09.2023;А3;30;499;Продажа;;;;;
467;08.09.2023;А1;43;516;Поступление;;;;;
468;08.09.2023;А15;82;146;Поступление;;;;;
469;08.09.2023;А6;191;479;Поступление;;;;;
470;08.09.2023;А20;109;965;Продажа;;;;;
471;08.09.2023;А7;200;646;Продажа;;;;;
472;08.09.2023;А11;16;981;Поступление;;;;;
473;08.09.2023;А7;56;149;Поступление;;;;;
474;08.09.2023;А7;96;995;Продажа;;;;;
475;08.09.2023;А20;80;106;Поступление;;;;;
476;08.09.2023;А8;41;161;Продажа;;;;;
477;08.09.2023;А4;103;388;Поступление;;;;;
478;08.09.2023;А12;13;531;Продажа;;;;;
479;08.09.2023;А12;188;602;Продажа;;;;;
480;08.09.2023;А18;115;273;Продажа;;;;;
481;08.09.2023;А1;43;286;Продажа;;;;;
482;08.09.2023;А12;103;742;Продажа;;;;;
483;08.09.2023;А16;52;922;Продажа;;;;;
484;08.09.2023;А19;63;362;Поступление;;;;;
485;08.09.2023;А4;72;476;Продажа;;;;;
486;08.09.2023;А10;123;938;Продажа;;;;;
487;08.09.2023;А16;93;55;Продажа;;;;;
488;08.09.2023;А14;85;916;Поступление;;;;;
489;08.09.2023;А13;132;761;Поступление;;;;;
490;08.09.2023;А15;70;646;Продажа;;;;;
491;08.09.2023;А10;76;262;Продажа;;;;;
492;08.09.2023;А14;41;177;Поступление;;;;;
493;08.09.2023;А6;19;471;Поступление;;;;;
494;08.09.2023;А20;188;555;Поступление;;;;;
495;08.09.2023;А4;114;868;Поступление;;;;;
496;08.09.2023;А8;189;324;Поступление;;;;;
497;08.09.2023;А13;188;861;Продажа;;;;;
498;08.09.2023;А20;133;670;Поступление;;;;;
499;08.09.2023;А1;153;847;Продажа;;;;;
500;08.09.2023;А16;191;781;Продажа;;;;;
501;08.09.2023;А3;192;177;Продажа;;;;;
502;08.09.2023;А7;37;747;Поступление;;;;;
503;08.09.2023;А2;178;184;Поступление;;;;;
504;08.09.2023;А8;80;910;Поступление;;;;;
505;08.09.2023;А3;176;673;Продажа;;;;;
506;08.09.2023;А16;179;293;Поступление;;;;;
507;09.09.2023;А3;131;28;Продажа;;;;;
508;09.09.2023;А18;85;429;Поступление;;;;;
509;09.09.2023;А7;41;360;Поступление;;;;;
510;09.09.2023;А6;95;52;Поступление;;;;;
511;09.09.2023;А14;199;920;Продажа;;;;;
512;09.09.2023;А4;178;62;Продажа;;;;;
513;09.09.2023;А20;81;968;Продажа;;;;;
514;09.09.2023;А5;21;284;Поступление;;;;;
515;09.09.2023;А19;52;231;Продажа;;;;;
516;09.09.2023;А2;127;307;Продажа;;;;;
517;09.09.2023;А13;154;283;Поступление;;;;;
518;09.09.2023;А19;9;435;Продажа;;;;;
519;09.09.2023;А11;141;440;Продажа;;;;;
520;09.09.2023;А14;98;217;Поступление;;;;;
521;09.09.2023;А16;83;69;Продажа;;;;;
522;09.09.2023;А7;91;588;Поступление;;;;;
523;09.09.2023;А8;182;706;Поступление;;;;;
524;09.09.2023;А15;112;385;Продажа;;;;;
525;09.09.2023;А1;199;168;Продажа;;;;;
526;09.09.2023;А20;134;334;Поступление;;;;;
527;09.09.2023;А12;84;261;Поступление;;;;;
528;09.09.2023;А2;170;696;Продажа;;;;;
529;09.09.2023;А20;160;704;Продажа;;;;;
530;09.09.2023;А5;46;505;Продажа;;;;;
531;09.09.2023;А15;79;494;Продажа;;;;;
532;09.09.2023;А16;11;594;Продажа;;;;;
533;09.09.2023;А20;38;14;Продажа;;;;;
534;09.09.2023;А11;72;392;Поступление;;;;;
535;09.09.2023;А16;142;86;Поступление;;;;;
